ID_zamowienia,Data_zakupu,ID_klienta,Kategoria,Produkt,Cena_jednostkowa,Ilosc,Kwota_zamowienia,Metoda_platnosci,Wojewodztwo
1,2024-04-29,4772,Sport,Rakieta tenisowa,933.51,4,3734.04,Karta,Łódzkie
2,2024-04-29,3135,Moda,Buty,517.88,3,1553.64,Karta,Podkarpackie
3,2023-06-16,4485,AGD,Zmywarka,4850.15,4,19400.6,BLIK,Małopolskie
4,2023-11-26,1021,Sport,Rakieta tenisowa,3095.06,2,6190.12,Karta,Lubuskie
5,2023-12-30,4753,Elektronika,Smartfon,2633.38,3,7900.14,PayPal,Lubuskie
6,2024-04-28,3879,Sport,Hantle,1924.66,4,7698.64,Karta,Śląskie
7,2024-05-06,3214,Książki,Poradnik,3407.93,1,3407.93,BLIK,Podkarpackie
8,2024-10-06,3824,Elektronika,Monitor,2825.18,2,5650.36,BLIK,Pomorskie
9,2024-10-08,2478,Moda,Kurtka,1220.31,4,4881.24,PayPal,Zachodniopomorskie
10,2024-07-27,4459,AGD,Mikser,1308.72,4,5234.88,BLIK,Świętokrzyskie
11,2023-08-02,3449,Moda,Kurtka,940.58,3,2821.74,BLIK,Lubuskie
12,2024-04-28,4934,Moda,Spodnie,4476.24,2,8952.48,PayPal,Warmińsko-Mazurskie
13,2024-04-05,3767,Sport,Piłka,4806.64,1,4806.64,Karta,Małopolskie
14,2025-05-03,1379,Książki,Komiks,4826.97,4,19307.88,Karta,Kujawsko-Pomorskie
15,2023-04-14,3568,Książki,Podręcznik,391.26,3,1173.78,PayPal,Mazowieckie
16,2024-06-05,2698,Sport,Hantle,1010.24,4,4040.96,Przelew,Mazowieckie
17,2024-03-07,3088,AGD,Zmywarka,4632.98,2,9265.96,PayPal,Łódzkie
18,2024-05-26,1502,Elektronika,Monitor,1667.87,4,6671.48,Przelew,Świętokrzyskie
19,2025-05-28,2570,Książki,Poradnik,2964.66,2,5929.32,Karta,Śląskie
20,2025-08-13,1502,Książki,Poradnik,3808.71,2,7617.42,Przelew,Świętokrzyskie
21,2023-12-23,4625,AGD,Mikser,3559.1,2,7118.2,PayPal,Zachodniopomorskie
22,2023-09-13,2923,AGD,Mikser,1585.49,4,6341.96,BLIK,Pomorskie
23,2025-04-11,2183,Książki,Poradnik,1031.24,1,1031.24,Przelew,Opolskie
24,2025-02-26,2597,AGD,Kuchenka,4649.89,1,4649.89,Karta,Pomorskie
25,2023-12-30,4869,Sport,Rolki,1107.83,4,4431.32,BLIK,Opolskie
26,2023-01-03,4296,Moda,Kurtka,1794.36,2,3588.72,Karta,Kujawsko-Pomorskie
27,2023-09-16,2282,AGD,Mikser,4093.71,1,4093.71,Przelew,Lubelskie
28,2024-06-30,4890,AGD,Mikser,2434.45,1,2434.45,BLIK,Lubuskie
29,2023-04-29,2520,AGD,Mikser,2031.1,2,4062.2,BLIK,Podkarpackie
30,2024-04-26,4696,Sport,Rower,3567.11,1,3567.11,PayPal,Mazowieckie
31,2024-02-29,2589,AGD,Mikser,4883.54,4,19534.16,Przelew,Pomorskie
32,2022-11-11,2076,Elektronika,Smartfon,1213.02,2,2426.04,PayPal,Podlaskie
33,2022-09-06,1766,Sport,Hantle,1860.88,1,1860.88,BLIK,Dolnośląskie
34,2025-07-27,2930,Książki,Album,4917.45,2,9834.9,Przelew,Mazowieckie
35,2022-09-27,4420,Elektronika,Monitor,2550.83,4,10203.32,Przelew,Podkarpackie
36,2024-07-08,2986,Sport,Hantle,1116.8,2,2233.6,Przelew,Śląskie
37,2022-12-21,2663,Sport,Rolki,4703.81,4,18815.24,Przelew,Małopolskie
38,2024-06-15,2969,Elektronika,Tablet,1718.51,1,1718.51,Przelew,Warmińsko-Mazurskie
39,2024-02-03,3393,Moda,Buty,1158.18,4,4632.72,PayPal,Kujawsko-Pomorskie
40,2024-04-02,2327,Sport,Rolki,1318.93,1,1318.93,BLIK,Lubuskie
41,2023-11-11,3056,Książki,Podręcznik,4415.53,3,13246.59,Karta,Śląskie
42,2023-06-18,4191,AGD,Odkurzacz,4284.49,2,8568.98,Karta,Dolnośląskie
43,2024-03-29,2445,Sport,Hantle,4679.46,4,18717.84,PayPal,Podkarpackie
44,2025-07-12,3961,AGD,Mikser,3324.24,1,3324.24,PayPal,Świętokrzyskie
45,2022-10-20,1956,Moda,Spodnie,3465.64,4,13862.56,Karta,Podkarpackie
46,2024-05-26,1815,Elektronika,Monitor,1201.5,1,1201.5,PayPal,Dolnośląskie
47,2023-07-26,1459,AGD,Mikser,1554.14,4,6216.56,Przelew,Śląskie
48,2024-01-26,3074,Książki,Poradnik,4462.39,3,13387.17,BLIK,Pomorskie
49,2022-10-21,1452,Elektronika,Monitor,3351.24,1,3351.24,PayPal,Zachodniopomorskie
50,2024-04-16,4583,AGD,Kuchenka,141.09,1,141.09,Karta,Lubuskie
